Matrix Size,Block Size,Naive Time,Block Time,Correct
100,1,0.005821,0.006435,OK
100,2,0.014994,0.009002,OK
100,5,0.004669,0.006011,OK
100,10,0.017443,0.008927,OK
100,15,0.011339,0.003546,OK
100,20,0.017161,0.017997,OK
100,30,0.017340,0.008996,OK
100,50,0.015843,0.009983,OK
100,100,0.004585,0.007046,OK
100,200,0.015290,0.008989,OK
100,100,0.015389,0.009540,OK
200,1,0.004300,0.013782,OK
200,2,0.003939,0.006433,OK
200,5,0.001839,0.001151,OK
200,10,0.001598,0.000967,OK
200,15,0.001683,0.001133,OK
200,20,0.001963,0.001164,OK
200,30,0.001699,0.001122,OK
200,50,0.001613,0.001092,OK
200,100,0.001662,0.002531,OK
200,200,0.004927,0.018466,OK
200,200,0.001789,0.010617,OK
300,1,0.005133,0.024499,OK
300,2,0.004450,0.007103,OK
300,5,0.004388,0.002917,OK
300,10,0.008698,0.005970,OK
300,15,0.004229,0.003045,OK
300,20,0.005118,0.002817,OK
300,30,0.004316,0.003030,OK
300,50,0.004967,0.003268,OK
300,100,0.009283,0.012374,OK
300,200,0.004616,0.013851,OK
300,300,0.004693,0.034411,OK
400,1,0.008797,0.056665,OK
400,2,0.010785,0.023537,OK
400,5,0.009747,0.010247,OK
400,10,0.016136,0.013319,OK
400,15,0.008998,0.005722,OK
400,20,0.008834,0.005683,OK
400,30,0.009245,0.006696,OK
400,50,0.015333,0.017680,OK
400,100,0.020998,0.012977,OK
400,200,0.016318,0.027142,OK
400,400,0.010641,0.084064,OK
500,1,0.017202,0.114563,OK
500,2,0.026882,0.030170,OK
500,5,0.017378,0.012274,OK
500,10,0.018502,0.012182,OK
500,15,0.033299,0.013163,OK
500,20,0.016813,0.011018,OK
500,30,0.017141,0.012936,OK
500,50,0.018529,0.013941,OK
500,100,0.016963,0.015301,OK
500,200,0.030385,0.025756,OK
500,500,0.016790,0.166286,OK
500,1,0.028131,0.123827,OK
500,2,0.024654,0.030654,OK
500,5,0.024948,0.014741,OK
500,10,0.021012,0.009973,OK
500,15,0.012964,0.008344,OK
500,20,0.010970,0.005896,OK
500,30,0.010205,0.006263,OK
500,50,0.010546,0.007479,OK
500,100,0.010275,0.008504,OK
500,200,0.010437,0.013019,OK
500,500,0.010332,0.076421,OK
500,50,0.010177,0.007809,OK
500,55,0.010437,0.009119,OK
500,60,0.010278,0.010559,OK
500,65,0.011038,0.009895,OK
500,70,0.011611,0.011263,OK
500,75,0.011246,0.011543,OK
500,80,0.011388,0.012885,OK
500,85,0.011455,0.011657,OK
500,90,0.011592,0.013086,OK
500,95,0.015764,0.013932,OK
500,100,0.012543,0.011796,OK
1000,1,0.117402,0.765772,OK
1000,2,0.121901,0.206692,OK
1000,5,0.114534,0.093894,OK
1000,10,0.111038,0.066926,OK
1000,15,0.114182,0.063151,OK
1000,20,0.114409,0.070967,OK
1000,30,0.110312,0.065924,OK
1000,50,0.123814,0.083723,OK
1000,100,0.126962,0.104259,OK
1000,200,0.146799,0.102097,OK
1000,500,0.143725,0.217034,OK
1000,50,0.143622,0.096676,OK
1000,55,0.159541,0.081983,OK
1000,60,0.126602,0.084539,OK
1000,65,0.147972,0.078916,OK
1000,70,0.126387,0.084178,OK
1000,75,0.121442,0.091681,OK
1000,80,0.131503,0.087321,OK
1000,85,0.129876,0.087301,OK
1000,90,0.140953,0.084973,OK
1000,95,0.122918,0.089881,OK
1000,100,0.140199,0.084562,OK
1500,1,0.591074,3.181633,OK
1500,2,0.573576,0.915103,OK
1500,5,0.524741,0.367576,OK
1500,10,0.519705,0.245750,OK
1500,15,0.528956,0.235301,OK
1500,20,0.515652,0.248101,OK
1500,30,0.667261,0.245074,OK
1500,50,0.608280,0.302916,OK
1500,100,0.598611,0.286101,OK
1500,200,0.543992,0.328633,OK
1500,500,0.627725,0.557121,OK
1500,50,0.595691,0.323096,OK
1500,55,0.573878,0.321085,OK
1500,60,0.551732,0.313702,OK
1500,65,0.617798,0.284733,OK
1500,70,0.564283,0.275565,OK
1500,75,0.551049,0.328729,OK
1500,80,0.541275,0.307752,OK
1500,85,0.521422,0.323360,OK
1500,90,0.544352,0.346361,OK
1500,95,0.567888,0.283545,OK
1500,100,0.595513,0.280053,OK
2000,1,2.012598,7.874220,OK
2000,2,2.046316,2.075665,OK
2000,5,2.007282,0.944611,OK
2000,10,1.941439,0.594392,OK
2000,15,1.892646,0.570237,OK
2000,20,2.001921,0.573893,OK
2000,30,1.954775,0.541523,OK
2000,50,1.916163,0.640438,OK
2000,100,1.896228,0.654286,OK
2000,200,1.892610,0.832348,OK
2000,500,1.892380,0.979573,OK
2000,50,1.898700,0.641967,OK
2000,55,1.886603,0.658484,OK
2000,60,1.900096,0.653233,OK
2000,65,1.887386,0.646687,OK
2000,70,1.881053,0.650215,OK
2000,75,1.874795,0.646313,OK
2000,80,1.950574,0.656013,OK
2000,85,1.899471,0.663392,OK
2000,90,1.896247,0.658102,OK
2000,95,1.880362,0.667700,OK
2000,100,1.897937,0.651970,OK
5000,1,56.124250,141.663308,OK
5000,2,55.908416,35.370645,OK
5000,5,56.019486,16.730076,OK
5000,10,56.418368,10.162319,OK
5000,15,56.137850,10.860232,OK
5000,20,56.323720,8.857623,OK
5000,30,57.033899,8.443783,OK
5000,50,55.942420,10.166870,OK
5000,100,55.858884,9.794074,OK
5000,200,56.131813,10.914259,OK
5000,500,56.338598,17.357530,OK
5000,50,55.786885,10.154267,OK
5000,55,56.405448,10.270594,OK
5000,60,56.774583,10.084370,OK
5000,65,56.480536,10.102211,OK
5000,70,56.910893,9.999751,OK
5000,75,56.334550,10.082571,OK
5000,80,56.201852,10.085067,OK
5000,85,56.435313,10.029921,OK
5000,90,55.930914,10.002636,OK
5000,95,56.342615,10.119754,OK
5000,100,56.780730,10.077662,OK
10000,1,615.372255,1123.553447,OK
10000,2,529.770383,278.931192,OK
10000,5,530.020219,158.963839,OK
10000,10,531.045395,82.014497,OK
10000,15,528.714017,81.432958,OK
10000,20,534.973136,61.588628,OK
10000,30,529.246503,57.570073,OK
10000,50,529.550497,69.265870,OK
10000,100,534.803394,69.469153,OK
10000,200,531.519020,86.586397,OK
10000,500,529.231498,113.101787,OK
10000,50,527.770273,69.707215,OK
10000,55,531.323308,69.151120,OK
10000,60,529.556619,68.377320,OK
10000,65,526.148760,68.479246,OK
10000,70,532.720841,68.674301,OK
10000,75,529.266288,69.216574,OK
10000,80,531.292720,69.132562,OK
10000,85,531.850371,68.623887,OK
10000,90,530.558806,68.356678,OK
10000,95,529.306367,68.707677,OK
10000,100,533.051480,68.918962,OK
128,1,0.000777,0.001333,OK
128,2,0.000485,0.000482,OK
128,5,0.000519,0.000292,OK
128,10,0.000464,0.000302,OK
128,15,0.000476,0.000269,OK
128,20,0.000443,0.000166,OK
128,30,0.000452,0.000230,OK
128,50,0.000448,0.000242,OK
128,100,0.000460,0.000837,OK
128,200,0.000496,0.001566,OK
256,1,0.002911,0.009341,OK
256,2,0.003353,0.002136,OK
256,5,0.002502,0.000995,OK
256,10,0.002856,0.001145,OK
256,15,0.002982,0.001487,OK
256,20,0.003038,0.001634,OK
256,30,0.004798,0.003441,OK
256,50,0.003415,0.003250,OK
256,100,0.003288,0.004303,OK
256,200,0.003621,0.016781,OK
512,1,0.052074,0.104339,OK
512,2,0.051175,0.032255,OK
512,5,0.053975,0.011176,OK
512,10,0.052215,0.016402,OK
512,15,0.052531,0.028951,OK
512,20,0.054898,0.028447,OK
512,30,0.051674,0.038158,OK
512,50,0.054951,0.046077,OK
512,100,0.074781,0.053021,OK
512,200,0.079105,0.070986,OK
1024,1,0.514084,0.857077,OK
1024,2,0.580630,0.280607,OK
1024,5,0.489836,0.099915,OK
1024,10,0.526309,0.160808,OK
1024,15,0.488816,0.181479,OK
1024,20,0.531485,0.235365,OK
1024,30,0.579752,0.274057,OK
1024,50,0.556574,0.314483,OK
1024,100,0.583175,0.381046,OK
1024,200,0.510064,0.547298,OK
2048,1,3.883593,8.554243,OK
2048,2,3.865976,2.303068,OK
2048,5,3.842343,1.146706,OK
2048,10,3.861003,1.191229,OK
2048,15,3.825193,1.631797,OK
2048,20,3.820024,1.955993,OK
2048,30,3.943588,2.349504,OK
2048,50,4.004942,2.607379,OK
2048,100,3.821065,2.933977,OK
2048,200,3.909180,3.708752,OK
