Matrix Size,Block Size,Naive Time,Block Time,Correct
100,1,0.000423,0.003433,OK
100,2,0.000419,0.001443,OK
100,5,0.000422,0.000353,OK
100,10,0.000410,0.000287,OK
100,15,0.000416,0.000296,OK
100,20,0.000412,0.000304,OK
100,30,0.000410,0.000329,OK
100,50,0.000430,0.000401,OK
100,100,0.000718,0.000776,OK
100,200,0.000818,0.000434,OK
100,100,0.000412,0.000424,OK
200,1,0.004958,0.027998,OK
200,2,0.004958,0.007472,OK
200,5,0.004307,0.004553,OK
200,10,0.005247,0.002435,OK
200,15,0.005777,0.002523,OK
200,20,0.004310,0.002546,OK
200,30,0.004904,0.002741,OK
200,50,0.005025,0.003289,OK
200,100,0.004814,0.004244,OK
200,200,0.004975,0.004304,OK
200,200,0.005238,0.004302,OK
300,1,0.016007,0.092341,OK
300,2,0.015044,0.024317,OK
300,5,0.015705,0.010160,OK
300,10,0.014839,0.007768,OK
300,15,0.016641,0.007773,OK
300,20,0.015349,0.008028,OK
300,30,0.014847,0.008644,OK
300,50,0.015912,0.010454,OK
300,100,0.014933,0.011252,OK
300,200,0.015529,0.013134,OK
300,300,0.015639,0.014958,OK
400,1,0.037792,0.225562,OK
400,2,0.038201,0.060521,OK
400,5,0.037644,0.025066,OK
400,10,0.040348,0.019596,OK
400,15,0.039047,0.020748,OK
400,20,0.040234,0.020665,OK
400,30,0.039077,0.021884,OK
400,50,0.038904,0.028668,OK
400,100,0.038735,0.029997,OK
400,200,0.038864,0.036395,OK
400,400,0.039321,0.039498,OK
500,1,0.078867,0.452126,OK
500,2,0.078239,0.122154,OK
500,5,0.075910,0.045287,OK
500,10,0.079895,0.045154,OK
500,15,0.077589,0.037154,OK
500,20,0.106318,0.374338,OK
500,30,0.263648,0.040038,OK
500,50,0.673483,0.060548,OK
500,100,0.080471,0.055320,OK
500,200,0.077287,0.068535,OK
500,500,0.079463,0.078912,OK
500,1,0.085874,0.457223,OK
500,2,0.076035,0.119168,OK
500,5,0.074618,0.261002,OK
500,10,0.414410,0.037283,OK
500,15,0.575715,0.134345,OK
500,20,0.075890,0.037772,OK
500,30,0.284901,0.388312,OK
500,50,0.249127,0.051086,OK
500,100,0.077687,0.057641,OK
500,200,0.074387,0.066244,OK
500,500,0.074093,0.432802,OK
1000,1,1.877150,4.849073,OK
1000,2,2.413693,0.980062,OK
1000,5,0.669747,1.620990,OK
1000,10,1.805772,0.287615,OK
1000,15,0.614329,0.296974,OK
1000,20,0.613264,0.309953,OK
1000,30,1.664686,0.468634,OK
1000,50,1.806555,0.391739,OK
1000,100,0.608857,0.447087,OK
1000,200,0.609766,1.736399,OK
1000,500,0.635136,0.605955,OK
1500,1,7.338013,29.448245,OK
1500,2,6.079225,5.972030,OK
1500,5,5.885530,1.713703,OK
1500,10,8.367096,5.220731,OK
1500,15,6.233417,1.963336,OK
1500,20,7.612182,1.157360,OK
1500,30,7.933872,1.179186,OK
1500,50,6.008240,2.512333,OK
1500,100,6.519407,1.626742,OK
1500,200,9.718886,2.905430,OK
1500,500,5.826302,5.622837,OK
2000,1,14.071929,56.420537,OK
2000,2,14.513901,12.964167,OK
2000,5,14.763099,10.172012,OK
2000,10,13.086046,9.704660,OK
2000,15,15.915781,4.653109,OK
2000,20,20.117641,6.320812,OK
2000,30,17.017757,5.146727,OK
2000,50,15.897922,5.769141,OK
2000,100,15.430666,8.443048,OK
2000,200,18.231232,7.974814,OK
2000,500,20.051745,11.362737,OK
5000,1,463.730515,725.143680,OK
5000,2,344.192215,198.160837,OK
5000,5,333.259491,139.229560,OK
5000,10,332.846364,57.921059,OK
5000,15,336.739720,44.182750,OK
5000,20,329.193953,48.543906,OK
5000,30,349.406597,47.172723,OK
5000,50,321.634628,50.789093,OK
5000,100,327.220551,58.953537,OK
5000,200,329.975946,68.012876,OK
5000,500,331.060891,78.227587,OK
